DATE OF ACQUISITION,Country
1871,Egypt
1871,Iran
1876,Iran
1877,Egypt
1879,Iran
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Turkey
1879,Iran
1880,Iran
1881,India
1881,India
1881,India
1881,Iran
1881,Iran
1881,Syria
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Iran
1883,Turkey
1886,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
