date,Egypt,India,Iran,Syria,Turkey,Grand Total
1871-1880,2,,5,,73,80
1881-1890,1204,3,50,2,8,1267
1891-1900,34,63,198,24,43,362
1901-1910,1019,57,114,116,82,1388
1911-1920,325,271,410,114,127,1247
1921-1930,444,140,159,35,110,888
1931-1940,134,24,1985,18,31,2192
1941-1950,44,147,2342,41,50,2624
1951-1960,40,84,179,34,56,393
1961-1970,40,30,292,23,66,451
1971-1980,217,42,305,21,99,684
1981-1990,14,73,45,2,30,164
1991-2000,1,38,43,8,16,106
2001-2010,16,53,128,8,64,269
2011-2020,10,74,131,2,35,252
Grand Total,3544,1099,6386,448,890,12367
